Player,Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,Minute,Score,Goalkeeper,Assist,Notes,Opp_clean,Squad_clean,Venue_match,Result,Minutes,Gls,Opponent_Elo,Elo_Source,Competition_Stage,Is_Away,Difficulty_Score,xg,xg_source,goal_id,Weighted_Goal
C. Ronaldo,891,2002-10-07,Primeira Liga,Matchweek 6,Home,Sporting CP,Moreirense,Y,34,1-0,João Ricardo,,,Moreirense,Sporting CP,Home,W 3–0,90,2,1339.28894043,club,Group,FALSE,0.6688550159901635,NA,missing,C._Ronaldo-001,0.6688550159901635
C. Ronaldo,890,2002-10-07,Primeira Liga,Matchweek 6,Home,Sporting CP,Moreirense,Y,90,2-0,João Ricardo,,,Moreirense,Sporting CP,Home,W 3–0,90,2,1339.28894043,club,Group,FALSE,0.6688550159901635,NA,missing,C._Ronaldo-002,0.6688550159901635
C. Ronaldo,889,2002-10-26,Primeira Liga,Matchweek 8,Away,Sporting CP,Boavista,N,88,1-1,Ricardo,,,Boavista,Sporting CP,Away,W 2–1,9,1,1629.3079834,club,Group,TRUE,-1.1536476136743883,NA,missing,C._Ronaldo-003,-1.1536476136743883
C. Ronaldo,888,2003-11-01,Premier League,Matchweek 11,Home,Manchester Utd,Portsmouth,N,80,1-0,Shaka Hislop,,,Portsmouth,Manchester Utd,Home,W 3–0,15,1,1579.54931641,club,Group,FALSE,0.7679990782792325,NA,missing,C._Ronaldo-004,0.7679990782792325
C. Ronaldo,887,2004-03-20,Premier League,Matchweek 29,Home,Manchester Utd,Tottenham,N,89,1-0,Kasey Keller,Roy Keane,,Tottenham,Manchester Utd,Home,W 3–0,17,1,1659.71337891,club,Group,FALSE,0.8010789849156323,NA,missing,C._Ronaldo-005,0.8010789849156323
C. Ronaldo,886,2004-04-10,Premier League,Matchweek 32,Away,Manchester Utd,Birmingham City,N,60,0-1,Maik Taylor,Ryan Giggs,,Birmingham City,Manchester Utd,Away,W 2–1,36,1,1736.966232299479,league_avg,Group,TRUE,-1.1092221602833114,NA,missing,C._Ronaldo-006,-1.1092221602833114
C. Ronaldo,885,2004-05-15,Premier League,Matchweek 38,Away,Manchester Utd,Aston Villa,Y,4,0-0,Thomas Sørensen,,,Aston Villa,Manchester Utd,Away,W 2–0,84,1,1716.70605469,club,Group,TRUE,-1.117582574699166,NA,missing,C._Ronaldo-007,-1.117582574699166
C. Ronaldo,884,2004-06-12,UEFA Euro,Group stage,Home,Portugal,Greece,N,90+3,0-2,Antonios Nikopolidis,,,Greece,Portugal,Home,L 1–2,45,1,1834,national,Group,FALSE,0.8729988075123334,NA,missing,C._Ronaldo-008,0.8729988075123334
C. Ronaldo,883,2004-06-30,UEFA Euro,Semi-finals,Home,Portugal,Netherlands,Y,26,0-0,Edwin van der Sar,,,Netherlands,Portugal,Home,W 2–1,66,1,1916,national,Knockout,FALSE,1.0780014103456657,NA,missing,C._Ronaldo-009,1.0780014103456657
C. Ronaldo,882,2004-09-04,WCQ,First round,Away,Portugal,Latvia,Y,57,0-0,Aleksandrs Koļinko,,,Latvia,Portugal,Away,W 2–0,81,1,1507,national,Other,TRUE,-1.0825505719777109,NA,missing,C._Ronaldo-010,-1.0825505719777109
C. Ronaldo,881,2004-09-08,WCQ,First round,Home,Portugal,Estonia,Y,75,0-0,Mart Poom,,,Estonia,Portugal,Home,W 4–0,90,1,1388,national,Other,FALSE,0.8105235057655125,NA,missing,C._Ronaldo-011,0.8105235057655125
