"Package","Version"
"abind","1.4-8"
"ade4","1.7-24"
"ade4TkGUI","0.3.4"
"adegenet","2.1.11"
"adegraphics","1.0-22"
"adehabitatMA","0.3.17"
"adephylo","1.1-17"
"ADGofTest","0.3"
"adjustedCurves","0.11.4"
"admisc","0.40"
"afex","1.5-1"
"agricolae","1.3-7"
"AlgDesign","1.2.1.2"
"alr4","1.0.7"
"animation","2.8"
"anytime","0.3.13"
"apa","0.3.5"
"apaTables","2.0.8"
"areal","0.1.8"
"arm","1.15-3"
"arrayhelpers","1.1-2"
"arulesCBA","1.2.9"
"arulesViz","1.5.4"
"asaur","0.50"
"ash","1.0-15"
"AsioHeaders","1.30.2-1"
"askpass","1.2.1"
"assertthat","0.2.1"
"attempt","0.3.1"
"autocogs","0.1.5"
"aws.signature","0.6.2"
"AzureAuth","1.3.4"
"AzureGraph","1.3.5"
"AzureRMR","2.4.5"
"backports","1.5.1"
"bamlss","1.2-5"
"base64enc","0.1-6"
"base64url","1.4"
"bayesboot","0.2.3"
"BayesFactor","0.9.12-4.8"
"bayesm","3.1-7"
"bayesplot","1.15.0"
"BayesPostEst","0.4.0"
"bayesrules","0.0.3"
"bayestestR","0.18.1"
"bbmle","1.0.25.1"
"bbotk","1.12.0"
"bcogsci","0.0.0.9000"
"bdsmatrix","1.3-7"
"beeswarm","0.4.0"
"BH","1.90.0-1"
"bigD","0.3.1"
"bigmemory","4.6.6"
"bigmemory.sri","0.1.8"
"bindr","0.1.3"
"binom","1.1-2"
"bit","4.6.0"
"bit64","4.8.2"
"bitops","1.0-9"
"blob","1.3.0"
"blogdown","1.24"
"BMisc","1.4.9"
"bookdown","0.47"
"Boom","0.9.16"
"BoomSpikeSlab","1.2.7"
"brew","1.0-10"
"brglm","0.7.3"
"bridgesampling","1.2-1"
"brio","1.1.5"
"brms","2.23.0"
"Brobdingnag","1.2-9"
"broom","1.0.13"
"bslib","0.11.0"
"butcher","0.4.0"
"BWStest","0.2.3"
"cachem","1.1.0"
"Cairo","1.7-0"
"callr","3.8.0"
"car","3.1-5"
"carData","3.0-6"
"cards","0.8.1"
"cardx","0.3.4"
"caret","7.0-1"
"caTools","1.18.4"
"causaldata","0.1.4"
"causalweight","1.1.5"
"cellranger","1.1.0"
"checkmate","2.3.4"
"chirps","1.1"
"chk","0.10.0"
"chron","2.3-63"
"CircStats","0.2-7"
"classInt","0.4-11"
"cli","3.6.6"
"clipr","0.8.1"
"clock","0.7.4"
"clubSandwich","0.7.0"
"cluster","2.1.8.2"
"cmdstanr","0.9.0"
"cmprsk","2.2-12"
"coda","0.19-4.1"
"colorspace","2.1-3"
"colourpicker","1.3.0"
"colourvalues","0.3.11"
"cols4all","0.10"
"combinat","0.0-8"
"CommonDataModel","1.0.1"
"commonmark","2.0.0"
"CompQuadForm","1.4.4"
"conf.design","2.0.0"
"config","0.3.2"
"confintr","1.0.2"
"conflicted","1.2.0"
"ConsRank","3.0"
"contfrac","1.1-12"
"corpcor","1.6.10"
"correlation","0.8.8"
"corrgram","1.15"
"corrplot","0.95"
"covr","3.6.5"
"cowplot","1.2.0"
"coxme","2.2-22"
"cpp11","0.5.5"
"crayon","1.5.3"
"credentials","2.0.3"
"crossdes","1.1-2"
"crosstalk","1.2.2"
"crs","0.15-45"
"crul","1.6.0"
"ctv","1.0-0"
"cubature","2.1.4-1"
"curl","7.1.0"
"cvar","0.6"
"cvAUC","1.1.4"
"dae","3.2.35"
"daewr","1.2-11"
"dagitty","0.3-4"
"DALEX","2.5.4"
"data.table","1.18.4"
"datawizard","1.3.1"
"date","1.2-43"
"DBI","1.3.0"
"dbplyr","2.6.0"
"debugme","1.2.0"
"decor","1.0.2"
"deldir","2.0-4"
"dendextend","1.19.1"
"DEoptimR","1.2-0"
"Deriv","4.3.0"
"desc","1.4.3"
"DescTools","0.99.60"
"deSolve","1.42"
"desplot","1.10"
"devtools","2.5.2"
"diagis","0.2.3"
"diagram","1.6.5"
"DiagrammeR","1.0.12"
"dials","1.4.4"
"DiceDesign","1.10"
"DiceKriging","1.6.1"
"diffobj","0.3.8"
"digest","0.6.39"
"diptest","0.77-2"
"discretization","1.0-1.1"
"distill","1.6"
"distributional","0.8.1"
"distributions3","0.2.4"
"DistributionUtils","0.6-2"
"distro","0.1.1"
"dmetar","0.1.0"
"doBy","4.7.2"
"DoE.base","1.2-5"
"doFuture","1.2.2"
"doParallel","1.0.17"
"doRNG","1.8.6.3"
"dotCall64","1.2"
"dotty","0.1.0"
"dotwhisker","0.8.6"
"downlit","0.4.5"
"dplyr","1.2.1"
"dqrng","0.4.1"
"DRDID","1.3.0"
"dreamerr","1.5.0"
"DT","0.34.0"
"dtplyr","1.3.3"
"dygraphs","1.1.1.6"
"dynlm","0.3-6"
"e1071","1.7-17"
"easystats","0.7.6"
"effectsize","1.0.3"
"egg","0.4.5"
"ellipse","0.5.0"
"ellipsis","0.3.3"
"elliptic","1.5-1"
